Date,Hour,Temperature,Humidity,Wind,Pressure,Precipitation,Condition,Consumption
7/8/2024,0,80,0.85,14,29.24,0,Cloudy,9614.784358
7/8/2024,1,79,0.88,16,29.23,0,Mostly Cloudy,8962.788811
7/8/2024,2,79,0.88,16,29.22,0,Mostly Cloudy,8523.639964
7/8/2024,3,78,0.9,15,29.2,0,Fair,8229.933528
7/8/2024,4,79,0.84,16,29.19,0,Partly Cloudy,8048.019514
7/8/2024,5,77,0.9,21,29.18,0,Cloudy / Windy,8041.575405
7/8/2024,6,78,0.87,22,29.18,0,Mostly Cloudy / Windy,8190.581057
7/8/2024,7,79,0.82,21,29.2,0,Cloudy / Windy,8401.994661
7/8/2024,8,81,0.74,16,29.2,0,Mostly Cloudy,8531.276386
7/8/2024,9,81,0.69,14,29.22,0,Mostly Cloudy,8738.249503
7/8/2024,10,83,0.65,9,29.23,0,Mostly Cloudy,8992.941732
7/8/2024,11,84,0.61,14,29.25,0,Cloudy,9383.419284
7/8/2024,12,89,0.52,15,29.23,0,Mostly Cloudy,9810.039895
7/8/2024,13,90,0.52,13,29.22,0,Mostly Cloudy,10282.20312
7/8/2024,14,90,0.54,13,29.23,0,Mostly Cloudy,10721.54876
7/8/2024,15,91,0.48,6,29.21,0,Mostly Cloudy,11025.1506
7/8/2024,16,90,0.52,8,29.2,0,Mostly Cloudy,11279.05716
7/8/2024,17,90,0.5,6,29.21,0,Mostly Cloudy,11766.88947
7/8/2024,18,87,0.55,10,29.24,0,Partly Cloudy,12039.36518
7/8/2024,19,82.47826087,0.717608696,11.93478261,29.22869565,0,Mostly Cloudy,12156.03252
7/8/2024,20,82,0.62,0,29.29,0,Fair,12202.15509
7/8/2024,21,75,0.89,0,29.31,0,Fair,11784.5929
7/8/2024,22,76,0.85,0,29.33,0,Partly Cloudy,11328.23106
7/8/2024,23,79,0.885,9.5,29.25,0,Mostly Cloudy,10583.31708
