Date,Hour,Temperature,Humidity,Wind,Pressure,Precipitation,Condition,Consumption
7/8/2024,0,81.5,0.865,20.5,29.69,0,Light Ra / Wdy,13638.29
7/8/2024,1,79,0.84,26,29.63,0,Ra / Wdy,13209.40
7/8/2024,2,79,0.9,31,29.57,0,Heavy Ra / Wdy,12855.09
7/8/2024,3,78.8,0.936,30.8,29.552,0.06,Ra / Wdy,12643.77
7/8/2024,4,77.33333333,0.943333333,40,29.48666667,0.066666667,Heavy Ra / Wdy,12547.38
7/8/2024,5,38.5,0.47,41,29.39,0.05,Heavy Ra / Wdy,12547.31
7/8/2024,6,79,0.94,45.25,29.3,0.1,Light Ra / Wdy,12524.53
7/8/2024,7,79,0.97,48.66666667,29.23666667,0.1,Light Ra / Wdy,12565.68
7/8/2024,8,0,0,48.25,29.285,0.075,Light Ra / Wdy,12988.35
7/8/2024,9,77,0.84,41,29.45,0.1,Light Ra / Wdy,13735.95
7/8/2024,10,77.5,0.825,41,29.535,0,Light Ra / Wdy,14985.25
7/8/2024,11,76,0.87,30.5,29.66,0,Light Ra / Wdy,15956.67
7/8/2024,12,76,0.91,29,29.69333333,0,Light Ra / Wdy,15639.94
7/8/2024,13,79,0.82,21,29.73,0,Cloudy / Wdy,15386.21
7/8/2024,14,81.5,0.715,21,29.735,0,Mostly Cloudy,15540.78
7/8/2024,15,85,0.63,16,29.73,0,Partly Cloudy,15783.30
7/8/2024,16,84,0.65,14,29.74,0,Fair,16032.54
7/8/2024,17,85,0.63,10,29.75,0,Fair,15815.70
7/8/2024,18,85,0.65,7,29.75,0,Fair,15368.83
7/8/2024,19,81,0.79,6,29.77,0,Fair,15096.83
7/8/2024,20,80,0.81,5,29.78,0,Fair,15088.47
7/8/2024,21,81,0.84,6,29.81,0,Fair,15034.24
7/8/2024,22,81,0.84,0,29.83,0,Partly Cloudy,14738.39
7/8/2024,23,82,0.88,21,29.71,0,Light Ra / Wdy,14223.67
