Date,Hour,Temperature,Humidity,Wind,Pressure,Precipitation,Condition
01/01/2025,1:53 AM,56ʡF,55ʡ%,13ʡmph,30.10ʡin,0.0ʡin,Fair
01/01/2025,2:53 AM,54ʡF,59ʡ%,14ʡmph,30.12ʡin,0.0ʡin,Fair
01/01/2025,3:53 AM,53ʡF,61ʡ%,14ʡmph,30.13ʡin,0.0ʡin,Fair
01/01/2025,4:53 AM,52ʡF,63ʡ%,14ʡmph,30.14ʡin,0.0ʡin,Fair
01/01/2025,5:53 AM,51ʡF,66ʡ%,13ʡmph,30.15ʡin,0.0ʡin,Fair
01/01/2025,6:53 AM,50ʡF,68ʡ%,15ʡmph,30.17ʡin,0.0ʡin,Fair
01/01/2025,7:53 AM,49ʡF,71ʡ%,12ʡmph,30.20ʡin,0.0ʡin,Fair
01/01/2025,8:53 AM,49ʡF,71ʡ%,12ʡmph,30.22ʡin,0.0ʡin,Fair
01/01/2025,9:53 AM,51ʡF,66ʡ%,13ʡmph,30.26ʡin,0.0ʡin,Partly Cloudy
01/01/2025,10:53 AM,54ʡF,59ʡ%,14ʡmph,30.28ʡin,0.0ʡin,Fair
01/01/2025,11:53 AM,56ʡF,53ʡ%,16ʡmph,30.28ʡin,0.0ʡin,Partly Cloudy
01/01/2025,12:53 PM,59ʡF,48ʡ%,14ʡmph,30.26ʡin,0.0ʡin,Fair
01/01/2025,1:53 PM,60ʡF,47ʡ%,9ʡmph,30.22ʡin,0.0ʡin,Partly Cloudy
01/01/2025,2:53 PM,62ʡF,43ʡ%,7ʡmph,30.20ʡin,0.0ʡin,Fair
01/01/2025,3:53 PM,63ʡF,40ʡ%,6ʡmph,30.19ʡin,0.0ʡin,Fair
01/01/2025,4:53 PM,63ʡF,40ʡ%,8ʡmph,30.18ʡin,0.0ʡin,Partly Cloudy
01/01/2025,5:53 PM,62ʡF,43ʡ%,10ʡmph,30.18ʡin,0.0ʡin,Partly Cloudy
01/01/2025,6:53 PM,59ʡF,49ʡ%,6ʡmph,30.19ʡin,0.0ʡin,Partly Cloudy
01/01/2025,7:53 PM,55ʡF,62ʡ%,0ʡmph,30.21ʡin,0.0ʡin,Fair
01/01/2025,8:53 PM,55ʡF,62ʡ%,0ʡmph,30.23ʡin,0.0ʡin,Partly Cloudy
01/01/2025,9:53 PM,56ʡF,57ʡ%,7ʡmph,30.24ʡin,0.0ʡin,Partly Cloudy
01/01/2025,10:53 PM,56ʡF,62ʡ%,5ʡmph,30.25ʡin,0.0ʡin,Cloudy
01/01/2025,11:53 PM,56ʡF,60ʡ%,5ʡmph,30.25ʡin,0.0ʡin,Cloudy
01/01/2025,12:53 AM,56ʡF,62ʡ%,6ʡmph,30.25ʡin,0.0ʡin,Cloudy
01/02/2025,1:53 AM,56ʡF,62ʡ%,6ʡmph,30.24ʡin,0.0ʡin,Cloudy
01/02/2025,2:53 AM,56ʡF,62ʡ%,6ʡmph,30.22ʡin,0.0ʡin,Mostly Cloudy
01/02/2025,3:53 AM,54ʡF,69ʡ%,5ʡmph,30.20ʡin,0.0ʡin,Partly Cloudy
01/02/2025,4:53 AM,53ʡF,74ʡ%,7ʡmph,30.20ʡin,0.0ʡin,Fair
01/02/2025,5:53 AM,52ʡF,77ʡ%,8ʡmph,30.20ʡin,0.0ʡin,Fair
01/02/2025,6:53 AM,50ʡF,80ʡ%,8ʡmph,30.21ʡin,0.0ʡin,Fair
01/02/2025,7:53 AM,50ʡF,80ʡ%,6ʡmph,30.22ʡin,0.0ʡin,Fair
01/02/2025,8:53 AM,52ʡF,74ʡ%,6ʡmph,30.24ʡin,0.0ʡin,Cloudy
01/02/2025,9:53 AM,54ʡF,69ʡ%,6ʡmph,30.26ʡin,0.0ʡin,Cloudy
01/02/2025,10:53 AM,56ʡF,69ʡ%,8ʡmph,30.27ʡin,0.0ʡin,Cloudy
01/02/2025,11:53 AM,57ʡF,72ʡ%,12ʡmph,30.27ʡin,0.0ʡin,Cloudy
01/02/2025,12:53 PM,58ʡF,72ʡ%,8ʡmph,30.25ʡin,0.0ʡin,Cloudy
01/02/2025,1:53 PM,60ʡF,69ʡ%,12ʡmph,30.20ʡin,0.0ʡin,Cloudy
01/02/2025,2:53 PM,61ʡF,72ʡ%,9ʡmph,30.17ʡin,0.0ʡin,Cloudy
01/02/2025,3:53 PM,61ʡF,72ʡ%,13ʡmph,30.16ʡin,0.0ʡin,Cloudy
01/02/2025,4:53 PM,61ʡF,78ʡ%,10ʡmph,30.16ʡin,0.0ʡin,Cloudy
01/02/2025,5:53 PM,60ʡF,80ʡ%,9ʡmph,30.16ʡin,0.0ʡin,Cloudy
01/02/2025,6:53 PM,60ʡF,83ʡ%,9ʡmph,30.17ʡin,0.0ʡin,Cloudy
01/02/2025,7:53 PM,60ʡF,83ʡ%,12ʡmph,30.17ʡin,0.0ʡin,Cloudy
01/02/2025,8:53 PM,60ʡF,83ʡ%,10ʡmph,30.17ʡin,0.0ʡin,Cloudy
01/02/2025,9:53 PM,60ʡF,83ʡ%,9ʡmph,30.19ʡin,0.0ʡin,Cloudy
01/02/2025,10:53 PM,60ʡF,86ʡ%,9ʡmph,30.19ʡin,0.0ʡin,Light Rain
01/02/2025,11:53 PM,61ʡF,87ʡ%,8ʡmph,30.21ʡin,0.0ʡin,Cloudy
01/02/2025,12:53 AM,61ʡF,87ʡ%,8ʡmph,30.21ʡin,0.0ʡin,Cloudy
01/03/2025,1:20 AM,61ʡF,87ʡ%,6ʡmph,30.21ʡin,0.0ʡin,Light Rain
01/03/2025,1:29 AM,61ʡF,87ʡ%,9ʡmph,30.21ʡin,0.0ʡin,Light Rain
01/03/2025,1:53 AM,61ʡF,90ʡ%,7ʡmph,30.21ʡin,0.0ʡin,Cloudy
01/03/2025,2:53 AM,60ʡF,90ʡ%,6ʡmph,30.20ʡin,0.0ʡin,Cloudy
01/03/2025,3:53 AM,59ʡF,90ʡ%,8ʡmph,30.20ʡin,0.0ʡin,Cloudy
01/03/2025,4:53 AM,0ʡF,0ʡ%,0ʡmph,30.19ʡin,0.0ʡin,Cloudy
01/03/2025,5:53 AM,61ʡF,81ʡ%,7ʡmph,30.20ʡin,0.0ʡin,Cloudy
01/03/2025,6:53 AM,60ʡF,86ʡ%,8ʡmph,30.21ʡin,0.0ʡin,Mostly Cloudy
01/03/2025,7:53 AM,60ʡF,86ʡ%,8ʡmph,30.24ʡin,0.0ʡin,Cloudy
01/03/2025,8:53 AM,61ʡF,83ʡ%,9ʡmph,30.25ʡin,0.0ʡin,Mostly Cloudy
01/03/2025,9:53 AM,62ʡF,80ʡ%,7ʡmph,30.27ʡin,0.0ʡin,Mostly Cloudy
01/03/2025,10:53 AM,65ʡF,78ʡ%,10ʡmph,30.29ʡin,0.0ʡin,Cloudy
01/03/2025,11:53 AM,67ʡF,70ʡ%,9ʡmph,30.29ʡin,0.0ʡin,Mostly Cloudy
01/03/2025,12:53 PM,69ʡF,63ʡ%,10ʡmph,30.27ʡin,0.0ʡin,Cloudy
01/03/2025,1:53 PM,69ʡF,61ʡ%,9ʡmph,30.25ʡin,0.0ʡin,Mostly Cloudy
01/03/2025,2:53 PM,70ʡF,59ʡ%,6ʡmph,30.22ʡin,0.0ʡin,Mostly Cloudy
01/03/2025,3:53 PM,71ʡF,55ʡ%,13ʡmph,30.21ʡin,0.0ʡin,Partly Cloudy
01/03/2025,4:53 PM,72ʡF,53ʡ%,9ʡmph,30.20ʡin,0.0ʡin,Mostly Cloudy
01/03/2025,5:53 PM,69ʡF,61ʡ%,9ʡmph,30.21ʡin,0.0ʡin,Mostly Cloudy
01/03/2025,6:53 PM,66ʡF,65ʡ%,6ʡmph,30.21ʡin,0.0ʡin,Cloudy
01/03/2025,7:53 PM,66ʡF,68ʡ%,9ʡmph,30.22ʡin,0.0ʡin,Cloudy
01/03/2025,8:53 PM,65ʡF,73ʡ%,6ʡmph,30.21ʡin,0.0ʡin,Mostly Cloudy
01/03/2025,9:53 PM,64ʡF,72ʡ%,5ʡmph,30.21ʡin,0.0ʡin,Mostly Cloudy
01/03/2025,10:53 PM,63ʡF,72ʡ%,6ʡmph,30.22ʡin,0.0ʡin,Mostly Cloudy
01/03/2025,11:53 PM,64ʡF,72ʡ%,7ʡmph,30.22ʡin,0.0ʡin,Mostly Cloudy
01/03/2025,12:53 AM,64ʡF,78ʡ%,10ʡmph,30.21ʡin,0.0ʡin,Mostly Cloudy
01/04/2025,1:53 AM,64ʡF,75ʡ%,13ʡmph,30.20ʡin,0.0ʡin,Cloudy
01/04/2025,2:07 AM,63ʡF,75ʡ%,15ʡmph,30.19ʡin,0.0ʡin,Cloudy
01/04/2025,2:53 AM,63ʡF,67ʡ%,12ʡmph,30.17ʡin,0.0ʡin,Cloudy
01/04/2025,3:53 AM,62ʡF,65ʡ%,12ʡmph,30.17ʡin,0.0ʡin,Cloudy
01/04/2025,4:53 AM,61ʡF,64ʡ%,13ʡmph,30.17ʡin,0.0ʡin,Cloudy
01/04/2025,5:53 AM,61ʡF,64ʡ%,12ʡmph,30.16ʡin,0.0ʡin,Cloudy
